epoch,accuracy,loss,val_accuracy,val_loss
0,0.6246428489685059,0.6513153314590454,0.6200000047683716,0.678935170173645
1,0.6803571581840515,0.5915752649307251,0.5950000286102295,0.7682042121887207
2,0.7049999833106995,0.577897310256958,0.6449999809265137,0.6133633255958557
3,0.731071412563324,0.5428548455238342,0.6949999928474426,0.6157997250556946
4,0.7314285635948181,0.5390236377716064,0.7250000238418579,0.5411769151687622
5,0.7421428561210632,0.5285583734512329,0.6899999976158142,0.6231618523597717
6,0.7421428561210632,0.5389317274093628,0.7549999952316284,0.5265334844589233
7,0.7617856860160828,0.5064510703086853,0.6600000262260437,0.6764125227928162
8,0.7557142972946167,0.5027598738670349,0.7300000190734863,0.5589830875396729
9,0.753928542137146,0.49807220697402954,0.7549999952316284,0.6179468035697937
10,0.772857129573822,0.4815838932991028,0.7649999856948853,0.5217249393463135
11,0.7803571224212646,0.476089209318161,0.7049999833106995,0.6612768769264221
12,0.7846428751945496,0.4738280773162842,0.7099999785423279,0.6070347428321838
13,0.7932142615318298,0.4565911293029785,0.75,0.5365415811538696
14,0.7953571677207947,0.4566945433616638,0.7749999761581421,0.5335243940353394
15,0.7867857217788696,0.4431934356689453,0.7049999833106995,0.6659970879554749
16,0.7985714077949524,0.43195486068725586,0.7900000214576721,0.49762386083602905
17,0.793571412563324,0.4331680238246918,0.6899999976158142,0.8314116597175598
18,0.8296428322792053,0.3793453574180603,0.824999988079071,0.5080546736717224
19,0.8128571510314941,0.41609737277030945,0.7850000262260437,0.5289849638938904
